hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
10, 0.00100, -205.33, -0.00580266, -205.13, 0.0112813, -204.662, 0.00331492
10, 0.00200, -205.333, 0.0143176, -205.161, -0.0367613, -204.655, -0.0233808
10, 0.00300, -205.386, -0.0320644, -205.21, -0.0254389, -204.689, -0.0263784
10, 0.00400, -205.457, -0.0229371, -205.274, -0.017974, -204.741, -0.0185267
10, 0.00500, -205.542, -0.0161601, -205.347, -0.0123613, -204.804, -0.012698
10, 0.00600, -205.635, -0.0112105, -205.425, -0.00826346, -204.874, -0.00844363
10, 0.00700, -205.733, -0.00761246, -205.506, -0.0052857, -204.947, -0.00535925
10, 0.00800, -205.832, -0.00500963, -205.588, -0.00313571, -205.022, -0.00313855
10, 0.00900, -205.93, -0.00313793, -205.669, -0.00159586, -205.097, -0.00155371
10, 0.01000, -206.027, -0.00180213, -205.748, -0.000504735, -205.171, -0.000435752
10, 0.01100, -206.121, -0.000858222, -205.824, 0.000257298, -205.242, 0.000340445
10, 0.01200, -206.212, -0.000200071, -205.898, 0.000778759, -205.312, 0.000867376
10, 0.01300, -206.299, 0.000250413, -205.969, 0.00112507, -205.378, 0.00121332
10, 0.01400, -206.382, 0.000550618, -206.036, 0.00134451, -205.442, 0.00142859
10, 0.01500, -206.462, 0.00074266, -206.1, 0.00147267, -205.502, 0.0015502
10, 0.01600, -206.537, 0.00085739, -206.161, 0.0015357, -205.56, 0.00160535
10, 0.01700, -206.609, 0.000917364, -206.219, 0.00155281, -205.615, 0.00161394
10, 0.01800, -206.676, 0.000939029, -206.274, 0.00153805, -205.667, 0.00159049
10, 0.01900, -206.741, 0.000934343, -206.326, 0.00150167, -205.716, 0.00154558
10, 0.02000, -206.801, 0.000911963, -206.375, 0.00145109, -205.762, 0.00148686
10, 0.02100, -206.859, 0.000878123, -206.421, 0.00139169, -205.806, 0.00141981
10, 0.02200, -206.913, 0.000837285, -206.464, 0.00132731, -205.847, 0.00134837
10, 0.02300, -206.964, 0.000792613, -206.506, 0.00126068, -205.886, 0.00127529
10, 0.02400, -207.012, 0.000746324, -206.544, 0.0011937, -205.923, 0.00120248
10, 0.02500, -207.058, 0.000714409, -206.581, 0.00112592, -205.958, 0.00111951
10, 0.02600, -207.1, 0.000687219, -206.616, 0.00105608, -205.991, 0.00103575
10, 0.02700, -207.141, 0.000642832, -206.648, 0.000994229, -206.022, 0.00097102
10, 0.02800, -207.178, 0.000600065, -206.679, 0.000935267, -206.051, 0.000909657
10, 0.02900, -207.214, 0.000559388, -206.708, 0.000879328, -206.078, 0.000851695
10, 0.03000, -207.248, 0.000520973, -206.735, 0.000826446, -206.104, 0.000797147
10, 0.03100, -207.28, 0.000484889, -206.761, 0.000776588, -206.129, 0.000745951
10, 0.03200, -207.31, 0.000451129, -206.786, 0.000729671, -206.152, 0.000697994
10, 0.03300, -207.338, 0.00041964, -206.808, 0.000685587, -206.174, 0.000653135
10, 0.03400, -207.365, 0.000390331, -206.83, 0.000644205, -206.194, 0.000611215
10, 0.03500, -207.27, -0.000376344, -206.852, 0.000506701, -206.213, 0.000879302
10, 0.03600, -206.677, 0.0000277621, -206.88, 0.0000287853, -206.226, 0.00094434
10, 0.03700, -206.129, 0.000344588, -206.85, -0.000601745, -206.239, 0.000840314
10, 0.03800, -205.618, 0.000484515, -206.293, -0.0000317513, -206.233, -0.000198493
10, 0.03900, -205.15, 0.000224464, -205.774, 0.000123705, -205.726, 0.0000870849
10, 0.04000, -204.71, 0.000182379, -205.293, 0.000155703, -205.255, 0.000128199
10, 0.04100, -204.298, 0.000159234, -204.846, 0.000179272, -204.815, 0.000137696
10, 0.04200, -203.912, 0.000139807, -204.43, 0.000192369, -204.404, 0.000143685
10, 0.04300, -203.551, 0.000124057, -204.042, 0.000198279, -204.019, 0.000145884
10, 0.04400, -203.213, 0.000111087, -203.679, 0.000199231, -203.659, 0.000145363
10, 0.04500, -202.896, 0.000100274, -203.341, 0.000196815, -203.322, 0.000142888
10, 0.04600, -202.599, 0.000091142, -203.023, 0.000192161, -203.006, 0.000139044
10, 0.04700, -202.321, 0.0000833302, -202.727, 0.00018607, -202.71, 0.000134276
10, 0.04800, -202.06, 0.0000765661, -202.448, 0.000179105, -202.433, 0.000128918
10, 0.04900, -201.816, 0.0000706424, -202.188, 0.000171662, -202.173, 0.000123219
10, 0.05000, -201.587, 0.0000654008, -201.943, 0.000164016, -201.929, 0.000117364
10, 0.05100, -201.373, 0.0000607199, -201.714, 0.000156353, -201.701, 0.000111485
10, 0.05200, -201.173, 0.000056506, -201.499, 0.000148801, -201.486, 0.000105678
10, 0.05300, -200.985, 0.0000526863, -201.298, 0.000141443, -201.285, 0.000100011
10, 0.05400, -200.809, 0.0000492035, -201.109, 0.000134332, -201.096, 0.0000945271
10, 0.05500, -200.644, 0.0000460121, -200.932, 0.000127499, -200.919, 0.0000892569
10, 0.05600, -200.49, 0.0000430757, -200.765, 0.00012096, -200.753, 0.0000842172
10, 0.05700, -200.345, 0.0000403647, -200.609, 0.000114722, -200.598, 0.0000794166
10, 0.05800, -200.21, 0.0000378547, -200.463, 0.000108782, -200.451, 0.0000748574
10, 0.05900, -200.083, 0.0000355252, -200.326, 0.000103136, -200.314, 0.0000705373
10, 0.06000, -199.965, 0.0000333591, -200.197, 0.0000977758, -200.186, 0.000066451
10, 0.06100, -199.854, 0.0000313417, -200.076, 0.0000926899, -200.065, 0.000062591
10, 0.06200, -199.75, 0.00002946, -199.963, 0.0000878671, -199.952, 0.0000589486
10, 0.06300, -199.653, 0.000027703, -199.857, 0.0000832956, -199.846, 0.0000555141
10, 0.06400, -199.562, 0.0000260608, -199.757, 0.0000789633, -199.747, 0.0000522775
10, 0.06500, -199.476, 0.0000245245, -199.663, 0.0000748581, -199.653, 0.0000492288
10, 0.06600, -199.397, 0.0000230862, -199.576, 0.0000709686, -199.566, 0.0000463578
10, 0.06700, -199.322, 0.0000217388, -199.493, 0.0000672833, -199.484, 0.0000436548
10, 0.06800, -199.252, 0.0000204758, -199.416, 0.0000637917, -199.407, 0.0000411102
10, 0.06900, -199.187, 0.0000192913, -199.344, 0.0000604833, -199.335, 0.0000387151
10, 0.07000, -199.126, 0.0000181798, -199.276, 0.0000573484, -199.267, 0.0000364606
10, 0.07100, -199.068, 0.0000171364, -199.212, 0.0000543777, -199.203, 0.0000343386
10, 0.07200, -199.015, 0.0000161565, -199.152, 0.0000515625, -199.144, 0.0000323412
10, 0.07300, -198.965, 0.0000152358, -199.096, 0.0000488944, -199.088, 0.000030461
10, 0.07400, -198.918, 0.0000143706, -199.044, 0.0000463656, -199.036, 0.0000286911
