hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
10, 0.00100, 286.732, -2.49736, 285.521, -121.133, 285.14, 118.713, 0, 0, 0, 0, 0, 0
10, 0.00200, 286.737, -2.50125, 285.569, -121.121, 285.133, 118.72, 0.564888, 177.503, 6.40248, 58.867, 3.6857, -61.2874
10, 0.00300, 286.827, -2.47475, 285.657, -121.091, 285.198, 118.748, 18.485, 177.515, 26.1961, 58.9002, 22.7008, -61.2605
10, 0.00400, 286.951, -2.43554, 285.77, -121.052, 285.295, 118.787, 44.0252, 177.557, 52.9923, 58.9422, 49.1111, -61.2186
10, 0.00500, 287.097, -2.38818, 285.901, -121.006, 285.412, 118.834, 74.532, 177.607, 84.3519, 58.9899, 80.3012, -61.1706
10, 0.00600, 287.259, -2.33581, 286.042, -120.957, 285.541, 118.884, 108.082, 177.661, 118.464, 59.0409, 114.399, -61.1189
10, 0.00700, 287.427, -2.28067, 286.188, -120.905, 285.677, 118.936, 143.284, 177.717, 154.021, 59.0935, 150.049, -61.0655
10, 0.00800, 287.598, -2.22439, 286.336, -120.853, 285.815, 118.989, 179.139, 177.774, 190.082, 59.1465, 186.275, -61.0115
10, 0.00900, 287.769, -2.16812, 286.482, -120.801, 285.953, 119.042, 214.937, 177.831, 225.978, 59.1989, 222.385, -60.958
10, 0.01000, 287.937, -2.11266, 286.624, -120.75, 286.089, 119.094, 250.178, 177.887, 261.243, 59.2502, 257.892, -60.9056
10, 0.01100, 288.1, -2.05858, 286.763, -120.7, 286.221, 119.145, 284.521, 177.941, 295.555, 59.3001, 292.463, -60.8546
10, 0.01200, 288.257, -2.00625, 286.897, -120.652, 286.348, 119.194, 317.739, 177.994, 328.705, 59.3481, 325.877, -60.8055
10, 0.01300, 288.408, -1.95589, 287.025, -120.606, 286.471, 119.241, 349.688, 178.044, 360.559, 59.3942, 357.997, -60.7583
10, 0.01400, 288.553, -1.90765, 287.147, -120.562, 286.588, 119.286, 380.287, 178.093, 391.045, 59.4382, 388.744, -60.7132
