hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
10, 0.00100, 287.011, -2.28497, 286.732, -120.878, 286.078, 119.065, 715.406, 177.713, 715.406, 59.1249, 715.406, -60.9339
10, 0.00200, 287.015, -2.28898, 286.775, -120.868, 286.068, 119.072, 715.406, 177.715, 715.406, 59.1216, 715.406, -60.9348
10, 0.00300, 287.089, -2.26671, 286.844, -120.843, 286.116, 119.096, 715.406, 177.724, 715.406, 59.15, 715.406, -60.9118
10, 0.00400, 287.189, -2.23343, 286.933, -120.81, 286.188, 119.129, 715.406, 177.76, 715.406, 59.1852, 715.406, -60.8767
10, 0.00500, 287.308, -2.19316, 287.035, -120.771, 286.276, 119.167, 715.406, 177.802, 715.406, 59.2253, 715.406, -60.8363
10, 0.00600, 287.438, -2.14857, 287.145, -120.73, 286.374, 119.209, 715.406, 177.848, 715.406, 59.2681, 715.406, -60.793
10, 0.00700, 287.575, -2.10159, 287.258, -120.686, 286.477, 119.253, 715.406, 177.896, 715.406, 59.3122, 715.406, -60.7481
10, 0.00800, 287.713, -2.05362, 287.372, -120.642, 286.581, 119.298, 715.406, 177.945, 715.406, 59.3567, 715.406, -60.7027
10, 0.00900, 287.851, -2.00564, 287.485, -120.599, 286.686, 119.343, 715.406, 177.993, 715.406, 59.4007, 715.406, -60.6578
10, 0.01000, 287.986, -1.95833, 287.595, -120.556, 286.789, 119.386, 715.406, 178.041, 715.406, 59.4438, 715.406, -60.6137
10, 0.01100, 288.117, -1.91219, 287.703, -120.514, 286.889, 119.429, 715.406, 178.088, 715.406, 59.4856, 715.406, -60.5709
10, 0.01200, 288.244, -1.86752, 287.806, -120.474, 286.986, 119.47, 715.406, 178.132, 715.406, 59.5259, 715.406, -60.5295
10, 0.01300, 288.366, -1.82454, 287.905, -120.436, 287.079, 119.51, 715.406, 178.176, 715.406, 59.5646, 715.406, -60.4899
10, 0.01400, 288.483, -1.78334, 287.999, -120.399, 287.168, 119.548, 715.406, 178.217, 715.406, 59.6016, 715.406, -60.4519
10, 0.01500, 288.594, -1.744, 288.089, -120.364, 287.253, 119.584, 715.406, 178.256, 715.406, 59.6369, 715.406, -60.4158
10, 0.01600, 288.699, -1.70653, 288.174, -120.33, 287.333, 119.618, 715.406, 178.294, 715.406, 59.6704, 715.406, -60.3814
10, 0.01700, 288.799, -1.6709, 288.255, -120.298, 287.41, 119.651, 715.406, 178.329, 715.406, 59.7022, 715.406, -60.3487
10, 0.01800, 288.894, -1.63709, 288.331, -120.268, 287.482, 119.682, 715.406, 178.363, 715.406, 59.7324, 715.406, -60.3177
10, 0.01900, 288.984, -1.60503, 288.404, -120.239, 287.551, 119.711, 715.406, 178.395, 715.406, 59.761, 715.406, -60.2883
10, 0.02000, 289.068, -1.57466, 288.472, -120.212, 287.616, 119.739, 715.406, 178.426, 715.406, 59.7881, 715.406, -60.2606
10, 0.02100, 289.148, -1.54592, 288.537, -120.187, 287.677, 119.765, 715.406, 178.454, 715.406, 59.8137, 715.406, -60.2343
10, 0.02200, 289.224, -1.51873, 288.598, -120.162, 287.735, 119.79, 715.406, 178.482, 715.406, 59.8379, 715.406, -60.2095
10, 0.02300, 289.296, -1.49302, 288.655, -120.14, 287.789, 119.814, 715.406, 178.507, 715.406, 59.8608, 715.406, -60.186
10, 0.02400, 289.363, -1.46873, 288.709, -120.118, 287.841, 119.836, 715.406, 178.531, 715.406, 59.8824, 715.406, -60.1639
10, 0.02500, 289.427, -1.44579, 288.76, -120.098, 287.889, 119.857, 715.406, 178.554, 715.406, 59.9028, 715.406, -60.1429
10, 0.02600, 289.486, -1.42417, 288.809, -120.078, 287.935, 119.877, 715.406, 178.576, 715.406, 59.922, 715.406, -60.1231
10, 0.02700, 289.543, -1.40375, 288.854, -120.06, 287.979, 119.895, 715.406, 178.596, 715.406, 59.9402, 715.406, -60.1044
10, 0.02800, 289.596, -1.38446, 288.898, -120.043, 288.019, 119.913, 715.406, 178.616, 715.406, 59.9573, 715.406, -60.0868
10, 0.02900, 289.646, -1.36625, 288.938, -120.027, 288.058, 119.93, 715.406, 178.634, 715.406, 59.9735, 715.406, -60.0702
