hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
10, 0.00100, 0, 0, 0, 0, 0, 0
10, 0.00200, -0.161974, 0.000010944, -1.82835, -0.000377771, -1.05091, -0.000135838
10, 0.00300, -5.302, -0.000961712, -7.48309, -0.001098, -6.47424, -0.000993783
10, 0.00400, -12.6331, -0.0016106, -15.1436, -0.00154009, -14.0112, -0.00148513
10, 0.00500, -21.398, -0.00187465, -24.1163, -0.00163956, -22.9189, -0.00162517
10, 0.00600, -31.0474, -0.00181991, -33.8857, -0.0014738, -32.6657, -0.00148331
10, 0.00700, -41.1837, -0.0015514, -44.079, -0.00113771, -42.8655, -0.00115832
10, 0.00800, -51.5202, -0.0011663, -54.4272, -0.000715763, -53.2403, -0.000738866
10, 0.00900, -61.8522, -0.00073855, -64.7386, -0.000270873, -63.5916, -0.000291575
10, 0.01000, -72.0354, -0.000317862, -74.8786, 0.000155385, -73.7799, 0.00013925
10, 0.01100, -81.9705, 0.0000660704, -84.7544, 0.00053872, -83.7088, 0.000527531
10, 0.01200, -91.5906, 0.000398222, -94.3044, 0.000867412, -93.3143, 0.000860503
10, 0.01300, -100.853, 0.000673462, -103.489, 0.00113816, -102.556, 0.00113435
10, 0.01400, -109.733, 0.00089282, -112.287, 0.00135289, -111.409, 0.00135083
10, 0.01500, -118.218, 0.00106081, -120.688, 0.00151642, -119.864, 0.0015148
10, 0.01600, -126.305, 0.00118361, -128.689, 0.00163496, -127.917, 0.00163262
10, 0.01700, -133.997, 0.00126794, -136.295, 0.00171506, -135.573, 0.00171107
10, 0.01800, -141.302, 0.00132031, -143.514, 0.00176307, -142.84, 0.0017567
10, 0.01900, -148.231, 0.00134671, -150.359, 0.00178481, -149.73, 0.00177554
10, 0.02000, -154.797, 0.00135243, -156.842, 0.0017854, -156.256, 0.0017729
10, 0.02100, -161.014, 0.00134197, -162.979, 0.00176925, -162.432, 0.00175335
10, 0.02200, -166.898, 0.00131912, -168.783, 0.00174008, -168.275, 0.00172074
10, 0.02300, -172.463, 0.00128699, -174.272, 0.001701, -173.798, 0.00167828
10, 0.02400, -177.724, 0.00124813, -179.459, 0.00165454, -179.018, 0.00162859
10, 0.02500, -182.697, 0.00121696, -184.36, 0.00160116, -183.95, 0.00156386
10, 0.02600, -187.397, 0.0011864, -188.99, 0.00154053, -188.608, 0.00149268
10, 0.02700, -191.836, 0.00113831, -193.362, 0.00148246, -193.007, 0.00143288
10, 0.02800, -196.031, 0.0010889, -197.491, 0.0014233, -197.161, 0.00137229
10, 0.02900, -199.992, 0.00103916, -201.389, 0.00136384, -201.082, 0.00131163
10, 0.03000, -203.733, 0.000989733, -205.069, 0.0013047, -204.784, 0.00125155
10, 0.03100, -207.265, 0.000941112, -208.543, 0.00124636, -208.278, 0.0011925
10, 0.03200, -210.601, 0.000893656, -211.822, 0.00118916, -211.576, 0.00113485
10, 0.03300, -213.75, 0.000847623, -214.917, 0.0011334, -214.688, 0.00107885
10, 0.03400, -216.723, 0.000803189, -217.838, 0.00107926, -217.626, 0.00102469
10, 0.03500, -219.53, 0.000148658, -220.596, 0.000929989, -220.397, 0.00125988
10, 0.03600, -222.177, 0.000518491, -223.2, 0.0004429, -223.011, 0.00130966
10, 0.03700, -224.682, 0.000805086, -225.652, -0.000124236, -225.481, 0.00119715
10, 0.03800, -227.047, 0.000926403, -227.961, 0.000417227, -227.816, 0.000222482
10, 0.03900, -229.287, 0.000632697, -230.141, 0.000551561, -230.013, 0.000492813
10, 0.04000, -231.4, 0.000570109, -232.202, 0.000563424, -232.088, 0.000515289
10, 0.04100, -233.394, 0.000527361, -234.15, 0.000568369, -234.047, 0.000506387
10, 0.04200, -235.275, 0.000489005, -235.99, 0.000563704, -235.897, 0.000494878
10, 0.04300, -237.05, 0.000455097, -237.727, 0.000552551, -237.642, 0.000480295
10, 0.04400, -238.725, 0.000424759, -239.367, 0.00053705, -239.288, 0.000463645
10, 0.04500, -240.305, 0.000397367, -240.915, 0.000518743, -240.842, 0.000445652
10, 0.04600, -241.796, 0.000372433, -242.376, 0.000498745, -242.308, 0.000426878
10, 0.04700, -243.203, 0.000349578, -243.754, 0.000477849, -243.691, 0.000407755
10, 0.04800, -244.53, 0.000328505, -245.055, 0.000456622, -244.995, 0.000388608
10, 0.04900, -245.782, 0.000308981, -246.282, 0.000435459, -246.226, 0.00036968
10, 0.05000, -246.964, 0.000290819, -247.439, 0.000414635, -247.387, 0.000351147
10, 0.05100, -248.078, 0.000273869, -248.531, 0.000394335, -248.482, 0.000333134
10, 0.05200, -249.13, 0.000258012, -249.561, 0.000374679, -249.515, 0.000315729
10, 0.05300, -250.122, 0.000243147, -250.533, 0.000355745, -250.49, 0.000298987
10, 0.05400, -251.058, 0.00022919, -251.45, 0.000337572, -251.409, 0.00028294
10, 0.05500, -251.941, 0.00021607, -252.314, 0.000320182, -252.276, 0.000267605
10, 0.05600, -252.774, 0.000203725, -253.13, 0.000303576, -253.093, 0.000252984
10, 0.05700, -253.56, 0.000192102, -253.899, 0.000287747, -253.864, 0.000239069
10, 0.05800, -254.301, 0.000181152, -254.624, 0.000272676, -254.592, 0.000225847
10, 0.05900, -255.001, 0.000170834, -255.309, 0.000258342, -255.278, 0.000213298
10, 0.06000, -255.661, 0.000161107, -255.954, 0.000244721, -255.925, 0.000201401
10, 0.06100, -256.283, 0.000151936, -256.563, 0.000231785, -256.535, 0.00019013
10, 0.06200, -256.871, 0.000143288, -257.137, 0.000219505, -257.111, 0.000179461
10, 0.06300, -257.425, 0.000135132, -257.679, 0.000207854, -257.654, 0.000169366
10, 0.06400, -257.948, 0.000127441, -258.189, 0.000196803, -258.166, 0.000159819
10, 0.06500, -258.441, 0.000120187, -258.671, 0.000186324, -258.649, 0.000150794
10, 0.06600, -258.906, 0.000113346, -259.126, 0.00017639, -259.105, 0.000142265
10, 0.06700, -259.345, 0.000106893, -259.554, 0.000166974, -259.534, 0.000134207
10, 0.06800, -259.759, 0.000100807, -259.958, 0.000158052, -259.94, 0.000126596
10, 0.06900, -260.15, 0.0000950678, -260.34, 0.000149598, -260.322, 0.000119408
10, 0.07000, -260.519, 0.0000896546, -260.699, 0.000141588, -260.682, 0.000112622
10, 0.07100, -260.867, 0.0000845495, -261.038, 0.000134002, -261.022, 0.000106215
10, 0.07200, -261.195, 0.000079735, -261.358, 0.000126816, -261.343, 0.000100168
10, 0.07300, -261.504, 0.0000751946, -261.66, 0.000120011, -261.646, 0.0000944603
10, 0.07400, -261.796, 0.0000709127, -261.945, 0.000113567, -261.931, 0.0000890739
10, 0.07500, -262.072, 0.0000668748, -262.213, 0.000107465, -262.2, 0.000083991
10, 0.07600, -262.332, 0.0000630669, -262.466, 0.000101687, -262.454, 0.0000791951
10, 0.07700, -262.577, 0.0000594759, -262.705, 0.0000962173, -262.693, 0.0000746703
10, 0.07800, -262.808, 0.0000560897, -262.93, 0.0000910391, -262.919, 0.0000704014
10, 0.07900, -263.026, 0.0000528965, -263.143, 0.0000861372, -263.132, 0.0000663744
10, 0.08000, -263.232, 0.0000498853, -263.343, 0.0000814972, -263.333, 0.0000625757
10, 0.08100, -263.426, 0.0000470459, -263.532, 0.0000771054, -263.522, 0.0000589926
10, 0.08200, -263.61, 0.0000443683, -263.71, 0.0000729485, -263.701, 0.0000556129
10, 0.08300, -263.783, 0.0000418434, -263.878, 0.0000690144, -263.869, 0.0000524254
10, 0.08400, -263.946, 0.0000394625, -264.037, 0.0000652911, -264.028, 0.0000494192
10, 0.08500, -264.099, 0.0000372174, -264.186, 0.0000617675, -264.178, 0.0000465842
10, 0.08600, -264.245, 0.0000351003, -264.327, 0.0000584331, -264.319, 0.0000439106
10, 0.08700, -264.382, 0.0000331039, -264.46, 0.0000552778, -264.453, 0.0000413894
10, 0.08800, -264.511, 0.0000312214, -264.586, 0.0000522921, -264.578, 0.000039012
10, 0.08900, -264.633, 0.0000294462, -264.704, 0.0000494669, -264.697, 0.0000367702
10, 0.09000, -264.748, 0.0000277723, -264.815, 0.0000467937, -264.809, 0.0000346565
10, 0.09100, -264.856, 0.0000261937, -264.921, 0.0000442644, -264.914, 0.0000326635
10, 0.09200, -264.959, -0.0000384117, -265.02, 0.0000442146, -265.014, 0.0000531396
10, 0.09300, -265.055, -0.000017222, -265.113, 0.0000439831, -265.108, 0.000041708
10, 0.09400, -265.146, -6.40915E-6, -265.202, 0.0000432952, -265.196, 0.0000346437
10, 0.09500, -265.232, 4.0225E-6, -265.285, 0.0000660753, -265.28, -0.0000348126
10, 0.09600, -265.313, 0.0000322534, -265.364, -5.64031E-6, -265.359, -0.0000127802
10, 0.09700, -265.39, 0.0000269274, -265.438, 8.30128E-6, -265.433, -2.44845E-6
10, 0.09800, -265.462, 0.0000241624, -265.508, 0.0000139988, -265.503, 4.835E-6
10, 0.09900, -265.53, 0.0000219062, -265.574, 0.0000175949, -265.569, 9.57788E-6
10, 0.10000, -265.594, 0.0000200681, -265.636, 0.0000195647, -265.631, 0.0000125999
10, 0.10100, -265.655, 0.0000185311, -265.694, 0.0000204671, -265.69, 0.0000144114
10, 0.10200, -265.712, 0.000017215, -265.75, 0.000020668, -265.745, 0.0000153822
10, 0.10300, -265.766, 0.0000160638, -265.802, 0.0000204165, -265.797, 0.0000157738
10, 0.10400, -265.816, 0.0000150386, -265.851, 0.0000198806, -265.847, 0.0000157713
10, 0.10500, -265.864, 0.0000141118, -265.897, 0.0000191735, -265.893, 0.0000155056
10, 0.10600, -265.91, 0.0000132642, -265.941, 0.0000183704, -265.937, 0.0000150684
10, 0.10700, -265.952, 0.0000124821, -265.982, 0.0000175215, -265.978, 0.0000145241
10, 0.10800, -265.993, 0.0000117557, -266.021, 0.0000166594, -266.017, 0.0000139175
10, 0.10900, -266.031, 0.0000110775, -266.057, 0.0000158052, -266.054, 0.0000132796
10, 0.11000, -266.066, 0.0000104424, -266.092, 0.0000149719, -266.089, 0.0000126317
10, 0.11100, -266.1, 9.84595E-6, -266.124, 0.0000141676, -266.122, 0.0000119879
10, 0.11200, -266.132, 9.28498E-6, -266.155, 0.0000133967, -266.152, 0.0000113579
10, 0.11300, -266.162, 8.75676E-6, -266.184, 0.0000126614, -266.182, 0.0000107476
10, 0.11400, -266.191, 8.25898E-6, -266.212, 0.0000119623, -266.209, 0.0000101607
10, 0.11500, -266.218, 7.78968E-6, -266.237, 0.0000112992, -266.235, 9.59935E-6
10, 0.11600, -266.243, 7.34709E-6, -266.262, 0.0000106712, -266.26, 9.06442E-6
10, 0.11700, -266.267, 6.92961E-6, -266.285, 0.000010077, -266.283, 8.55611E-6
10, 0.11800, -266.289, 6.53579E-6, -266.306, 9.51524E-6, -266.304, 8.07406E-6
10, 0.11900, -266.311, 6.16428E-6, -266.327, 8.98443E-6, -266.325, 7.61761E-6
10, 0.12000, -266.331, 5.81381E-6, -266.346, 8.48301E-6, -266.344, 7.18587E-6
10, 0.12100, -266.35, 5.48319E-6, -266.364, 8.00946E-6, -266.363, 6.77784E-6
10, 0.12200, -266.368, 5.17132E-6, -266.381, 7.56227E-6, -266.38, 6.39244E-6
10, 0.12300, -266.385, 4.87713E-6, -266.397, 7.14003E-6, -266.396, 6.02859E-6
10, 0.12400, -266.398, 0.0000692685, -266.41, 0.0000627645, -266.409, 0.0000621134
10, 0.12500, -266.407, 0.0000450604, -266.419, 0.0000410181, -266.417, 0.0000407734
10, 0.12600, -266.413, 0.0000316896, -266.424, 0.0000289073, -266.423, 0.0000287986
10, 0.12700, -266.417, 0.0000221388, -266.429, 0.0000202459, -266.427, 0.0000202217
10, 0.12800, -266.42, 0.000015476, -266.432, 0.0000141855, -266.43, 0.000014206
10, 0.12900, -266.422, 0.0000108186, -266.434, 9.93819E-6, -266.433, 9.97964E-6
10, 0.13000, -266.424, 7.56338E-6, -266.435, 6.96213E-6, -266.434, 7.01079E-6
10, 0.13100, -266.425, 5.28797E-6, -266.436, 4.87697E-6, -266.435, 4.9252E-6
10, 0.13200, -266.426, 3.69737E-6, -266.437, 3.4161E-6, -266.436, 3.46008E-6
