hour,t(sec),kWh,State,kWOut,kWIn,kvarOut,DCkW,kWTotalLosses,kWInvLosses,kWIdlingLosses,kWChDchLosses,"kWh Chng",InvEff,InverterON,Vref,"Vavg (DRC)","VV Oper","VW Oper","DRC Oper","VV_DRC Oper","WP Oper","WV Oper",kWDesired,"kW VW Limit","Limit kWOut Function","kVA Exceeded","Grid voltage",di/dt,it,"it History","Rated VDC","Avg duty cycle","Target (Amps)","Series L","Max. Amps (phase)"
10, 0.00100, 6000, 1, 0, 0, 0, 0, 8.88889, 0, 8, 0.888889, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 285.118, -3590.47, -1.79523, 0, 700, 0.406297, 935.284, 0.000381972, 962.25
10, 0.00200, 6000, 1, 3.04124, 0, 0.000502665, 3.04124, 9.2268, -2.12504E-17, 8, 1.2268, -2.46914E-6, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 285.14, 14552.3, 3.6857, -3.59047, 700, 0.415133, 935.213, 0.000381972, 962.25
10, 0.00300, 6000, 1, 19.2593, 0, 0.00305349, 19.2593, 11.0288, 1.14492E-16, 8, 3.02881, -3.40779E-6, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 285.174, 23477.9, 22.7008, 10.9619, 700, 0.424492, 935.101, 0.000381972, 962.25
10, 0.00400, 6000, 1, 41.7879, 0, 0.00463583, 41.7879, 13.532, -1.249E-15, 8, 5.53198, -8.41337E-6, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 285.28, 29342.6, 49.1111, 34.4398, 700, 0.433677, 934.753, 0.000381972, 962.25
10, 0.00500, 6000, 1, 68.4332, 0, 0.00513938, 68.4332, 16.4926, -2.22045E-16, 8, 8.49258, -0.0000153666, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 285.404, 33037.7, 80.3012, 63.7824, 700, 0.442588, 934.347, 0.000381972, 962.25
10, 0.00600, 6000, 1, 97.5988, 0, 0.00477702, 97.5988, 19.7332, 5.34989E-15, 8, 11.7332, -0.0000235905, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 285.538, 35158.1, 114.399, 96.82, 700, 0.451175, 933.908, 0.000381972, 962.25
10, 0.00700, 6000, 1, 128.128, 0, 0.00384742, 128.128, 23.1253, -1.4086E-14, 8, 15.1253, -0.0000325922, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 285.678, 36141.5, 150.049, 131.978, 700, 0.459413, 933.453, 0.000381972, 962.25
10, 0.00800, 6000, 1, 159.188, 0, 0.00262093, 159.188, 26.5764, 4.09395E-15, 8, 18.5764, -0.0000420149, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 285.819, 36311.6, 186.275, 168.12, 700, 0.467285, 932.993, 0.000381972, 962.25
10, 0.00900, 6000, 1, 190.182, 0, 0.001301, 190.182, 30.0203, -9.54792E-15, 8, 22.0203, -0.0000516011, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 285.958, 35907.6, 222.385, 204.431, 700, 0.474788, 932.537, 0.000381972, 962.25
10, 0.01000, 6000, 1, 220.694, 0, 0.0000232266, 220.694, 33.4104, -4.996E-15, 8, 25.4104, -0.0000611674, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 286.095, 35105.8, 257.892, 240.339, 700, 0.481923, 932.09, 0.000381972, 962.25
10, 0.01100, 6000, 1, 250.434, 0, -0.00113232, 250.434, 36.7149, 1.38778E-17, 8, 28.7149, -0.0000705845, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 286.228, 34036, 292.463, 275.445, 700, 0.488697, 931.657, 0.000381972, 962.25
10, 0.01200, 6000, 1, 279.209, 0, -0.00212614, 279.209, 39.9121, 0, 8, 31.9121, -0.0000797635, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 286.356, 32793.2, 325.877, 309.481, 700, 0.49512, 931.24, 0.000381972, 962.25
10, 0.01300, 6000, 1, 306.898, 0, -0.00294598, 306.898, 42.9887, 1.54876E-14, 8, 34.9887, -0.0000886448, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 286.479, 31446.7, 357.997, 342.274, 700, 0.501203, 930.841, 0.000381972, 962.25
10, 0.01400, 6000, 1, 333.43, 0, -0.00359653, 333.43, 45.9366, 2.54796E-14, 8, 37.9366, -0.0000971908, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 286.597, 30046.6, 388.744, 373.72, 700, 0.506961, 930.46, 0.000381972, 962.25
10, 0.01500, 6000, 1, 358.77, 0, -0.00409203, 358.77, 48.7522, 5.93969E-15, 8, 40.7522, -0.00010538, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 286.708, 28629.1, 418.082, 403.767, 700, 0.512407, 930.097, 0.000381972, 962.25
10, 0.01600, 6000, 1, 382.911, 0, -0.00445119, 382.911, 51.4345, 3.19189E-15, 8, 43.4345, -0.0001132, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 286.815, 27219.7, 446.006, 432.396, 700, 0.517556, 929.753, 0.000381972, 962.25
10, 0.01700, 6000, 1, 405.865, 0, -0.00469406, 405.865, 53.985, 1.38778E-15, 8, 45.985, -0.000120651, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 286.915, 25836.3, 472.534, 459.616, 700, 0.522421, 929.426, 0.000381972, 962.25
10, 0.01800, 6000, 1, 427.656, 0, -0.00484008, 427.656, 56.4063, -7.71605E-15, 8, 48.4063, -0.000127736, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.011, 24491.2, 497.698, 485.452, 700, 0.527018, 929.117, 0.000381972, 962.25
10, 0.01900, 6000, 1, 448.32, 0, -0.00490706, 448.32, 58.7022, -1.09079E-14, 8, 50.7022, -0.000134462, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.101, 23192.3, 521.539, 509.943, 700, 0.531359, 928.825, 0.000381972, 962.25
10, 0.02000, 6000, 1, 467.895, 0, -0.00491073, 467.895, 60.8773, -2.08999E-14, 8, 52.8773, -0.00014084, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.186, 21944.6, 544.108, 533.135, 700, 0.535459, 928.549, 0.000381972, 962.25
10, 0.02100, 6000, 1, 486.425, 0, -0.00486457, 486.425, 62.9362, 1.72917E-14, 8, 54.9362, -0.000146881, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.267, 20750.9, 565.456, 555.08, 700, 0.53933, 928.289, 0.000381972, 962.25
10, 0.02200, 6000, 1, 503.956, 0, -0.00477994, 503.956, 64.884, 3.19189E-15, 8, 56.884, -0.0001526, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.343, 19612.4, 585.637, 575.831, 700, 0.542984, 928.043, 0.000381972, 962.25
10, 0.02300, 6000, 1, 520.532, 0, -0.00466627, 520.532, 66.7258, 4.55191E-15, 8, 58.7258, -0.000158011, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.415, 18529, 604.708, 595.443, 700, 0.546434, 927.811, 0.000381972, 962.25
10, 0.02400, 6000, 1, 536.201, 0, -0.00453126, 536.201, 68.4668, 2.64233E-14, 8, 60.4668, -0.000163127, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.483, 17500.1, 622.722, 613.972, 700, 0.549691, 927.592, 0.000381972, 962.25
10, 0.02500, 6000, 1, 551.007, 0, -0.00438198, 551.007, 70.1119, -1.18239E-14, 8, 62.1119, -0.000167963, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.547, 16524.3, 639.735, 631.473, 700, 0.552764, 927.386, 0.000381972, 962.25
10, 0.02600, 6000, 1, 564.994, 0, -0.0042196, 564.994, 71.666, 4.45755E-14, 8, 63.666, -0.000172533, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.607, 15599.9, 655.797, 647.997, 700, 0.555665, 927.191, 0.000381972, 962.25
10, 0.02700, 6000, 1, 578.206, 0, -0.00405365, 578.206, 73.1339, 5.36793E-14, 8, 65.1339, -0.00017685, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.664, 14724.9, 670.959, 663.597, 700, 0.558403, 927.008, 0.000381972, 962.25
10, 0.02800, 6000, 1, 590.682, 0, -0.00388449, 590.682, 74.5202, -2.72005E-15, 8, 66.5202, -0.000180928, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.718, 13897.4, 685.27, 678.322, 700, 0.560986, 926.835, 0.000381972, 962.25
10, 0.02900, 6000, 1, 602.463, 0, -0.00371464, 602.463, 75.8292, -1.81521E-14, 8, 67.8292, -0.000184778, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 800, 9999, 800, 1, 287.768, 13115, 698.776, 692.219, 700, 0.563425, 926.672, 0.000381972, 962.25
