Timestamp,PVSystem.mypv__A1 [kVA],PVSystem.mypv__B1 [kVA],PVSystem.mypv__C1 [kVA]
2020-01-01 00:00:00,-0j,(-0+0j),0j
2020-01-01 00:15:00,-0j,(-0+0j),0j
2020-01-01 00:30:00,-0j,(-0+0j),0j
2020-01-01 00:45:00,-0j,(-0+0j),0j
2020-01-01 01:00:00,-0j,(-0+0j),0j
2020-01-01 01:15:00,-0j,(-0+0j),0j
2020-01-01 01:30:00,-0j,(-0+0j),0j
2020-01-01 01:45:00,-0j,(-0+0j),0j
2020-01-01 02:00:00,-0j,(-0+0j),0j
2020-01-01 02:15:00,-0j,(-0+0j),0j
2020-01-01 02:30:00,-0j,(-0+0j),0j
2020-01-01 02:45:00,-0j,(-0+0j),0j
2020-01-01 03:00:00,-0j,(-0+0j),0j
2020-01-01 03:15:00,-0j,(-0+0j),0j
2020-01-01 03:30:00,-0j,(-0+0j),0j
2020-01-01 03:45:00,-0j,(-0+0j),0j
2020-01-01 04:00:00,-0j,(-0+0j),0j
2020-01-01 04:15:00,-0j,(-0+0j),0j
2020-01-01 04:30:00,-0j,(-0+0j),0j
2020-01-01 04:45:00,-0j,(-0+0j),0j
2020-01-01 05:00:00,-0j,(-0+0j),0j
2020-01-01 05:15:00,-0j,(-0+0j),0j
2020-01-01 05:30:00,-0j,(-0+0j),0j
2020-01-01 05:45:00,-0j,(-0+0j),0j
2020-01-01 06:00:00,-0j,(-0+0j),0j
2020-01-01 06:15:00,-0j,(-0+0j),0j
2020-01-01 06:30:00,-0j,(-0+0j),0j
2020-01-01 06:45:00,-0j,(-0+0j),0j
2020-01-01 07:00:00,-0j,(-0+0j),0j
2020-01-01 07:15:00,-0j,(-0+0j),0j
2020-01-01 07:30:00,(-63.28977523623403+0.9111999900921883j),(-63.7536140799151-0.4731542244277625j),(-63.44567019952688-0.44341312017801465j)
2020-01-01 07:45:00,(-68.1845860217944+0.9819346410390695j),(-68.68603405911749-0.5056027366426934j),(-68.35329496031348-0.477004886136885j)
2020-01-01 08:00:00,(-84.72668465102922+1.2113633197825076j),(-85.34667476679466-0.6237472788695304j),(-84.92390882576524-0.5904220846355601j)
2020-01-01 08:15:00,(-100.04417964914421+1.4213997894788344j),(-100.77245540514687-0.7307664842315426j),(-100.26333615985467-0.6937000131039677j)
2020-01-01 08:30:00,(-87.37898337162828+1.2492750308554759j),(-88.017069051948-0.6406494663415288j),(-87.5799650118935-0.6064289925789562j)
2020-01-01 08:45:00,(-126.95269578919526+1.9764497485553802j),(-128.38494929918585-1.0055133334788042j),(-127.45748279061486-0.970166561344784j)
2020-01-01 09:00:00,(-71.50250872604774+1.1365336573456535j),(-72.31825189161087-0.5812613673375272j),(-71.82194330013303-0.5548619092848931j)
2020-01-01 09:15:00,(-137.76838394567608+2.1366861990703825j),(-139.32166656329758-1.0864371187201105j),(-138.30388376065767-1.0508830554635715j)
2020-01-01 09:30:00,(-144.92063507678048+2.39032044904934j),(-146.00974903112095-1.2277647665267868j),(-144.74126218748611-1.1708281888556593j)
2020-01-01 09:45:00,(-169.05512408638725+2.759203500753684j),(-170.2968303830541-1.4114891204486921j),(-168.80262425916317-1.3466311841121497j)
2020-01-01 10:00:00,(-197.900287260162+3.193904701046351j),(-199.3351454493241-1.6303180254151812j),(-197.55324701775302-1.5618699585124267j)
2020-01-01 10:15:00,(-167.6153279983249+2.734721651054708j),(-168.8432773883549-1.4008896776081674j),(-167.36548882061155-1.335344799050057j)
2020-01-01 10:30:00,(-154.93580696017597+2.5411174487216956j),(-156.07844635319674-1.3022537222848913j),(-154.72322693405016-1.2394041827305482j)
2020-01-01 10:45:00,(-83.48816771788101+1.4802831569762624j),(-84.36763947305052-0.784950680726106j),(-83.54946202927222-0.7476880252418414j)
2020-01-01 11:00:00,(-125.72482319310063+2.2137614063527953j),(-127.02532409635431-1.1380175457298902j),(-125.76606803101586-1.08841793386449j)
2020-01-01 11:15:00,(-65.69235999262474+1.1866341153521056j),(-66.38282295126098-0.6046856151105858j),(-65.74930364749075-0.5728086112637102j)
2020-01-01 11:30:00,(-228.55013063615058+4.0855912713773535j),(-231.43067668383296-2.0727168325611856j),(-228.7178084187026-2.033911052243333j)
2020-01-01 11:45:00,(-123.90461026841702+2.3099964563022466j),(-125.50692913547093-1.163847922709465j),(-124.11078875611344-1.1222102925439903j)
