Timestamp,Storage.mystorage__A1 [kVA],Storage.mystorage__B1 [kVA],Storage.mystorage__C1 [kVA]
2020-01-01 00:00:00,(-268.20152141867345+3.278118875833783j),(-265.6593437040383-1.8963966248074575j),(-266.1404308255673-1.3817298711080512j)
2020-01-01 00:15:00,(-267.0423003791967+3.2687461278144205j),(-266.2500432017258-1.8618647319379962j),(-266.7076564191666-1.4068813959902473j)
2020-01-01 00:30:00,(-267.0423003793269+3.26874612772356j),(-266.2500432015314-1.861864731887341j),(-266.7076564191472-1.4068813958371902j)
2020-01-01 00:45:00,(-266.37373868327654+2.873918601357253j),(-266.30580740483106-1.6337107829138549j),(-267.29329858816243-1.269860224878881j)
2020-01-01 01:00:00,(-266.3764680947263+2.8907160053692507j),(-266.32346142399575-1.625997258360876j),(-267.2999517708071-1.264678680024008j)
2020-01-01 01:15:00,(-266.376497404637+2.890757641738347j),(-266.323574127042-1.6260568395030424j),(-267.29992785815654-1.2647006883405703j)
2020-01-01 01:30:00,(-266.61701431337036+2.653737737760962j),(-265.995638393362-1.529558334678266j),(-267.2798387960722-1.1982209762471465j)
2020-01-01 01:45:00,(-266.6504166682786+2.6811304110979157j),(-266.0348246633605-1.506098799487023j),(-267.31458882918895-1.1750483430317253j)
2020-01-01 02:00:00,(-266.6504711898608+2.6811546883170316j),(-266.03490564605994-1.5061099498171242j),(-267.31462283601917-1.1750447464384197j)
2020-01-01 02:15:00,(-266.6504714277298+2.681154733606258j),(-266.0349058136343-1.5061100800160057j),(-267.31462275840425-1.1750446544430742j)
2020-01-01 02:30:00,(-266.6504714294338+2.6811547331832997j),(-266.0349058127909-1.5061100802080765j),(-267.31462275778495-1.1750446529866168j)
2020-01-01 02:45:00,(-266.7539268569116+2.611020866495663j),(-265.93826346037804-1.4614368727869151j),(-267.3246564320979-1.1384659119060963j)
2020-01-01 03:00:00,(-266.7488834475992+2.6062576682784298j),(-265.9313231455384-1.464507701443552j),(-267.319823245406-1.1417496587804052j)
2020-01-01 03:15:00,(-266.74887068471463+2.606252557815235j),(-265.9313066964736-1.464500972989379j),(-267.3198226745961-1.1417515664600506j)
2020-01-01 03:30:00,(-266.90292897424047+2.500847925454213j),(-265.786329219925-1.3975236237809003j),(-267.3346422748191-1.0873232590891857j)
2020-01-01 03:45:00,(-266.895728043062+2.4939547523428915j),(-265.77644842632833-1.4018891637567286j),(-267.3278644395713-1.092065410289666j)
2020-01-01 04:00:00,(-266.8957094345929+2.4939478400512334j),(-265.776426231566-1.4018791306756757j),(-267.32786440075347-1.0920686812572822j)
2020-01-01 04:15:00,(-266.89570931241593+2.4939478514094264j),(-265.7764262369263-1.4018790873023246j),(-267.3278644502717-1.0920687634502975j)
2020-01-01 04:30:00,(-266.8957093117752+2.493947851835983j),(-265.7764262378852-1.40187908757299j),(-267.32786445033423-1.0920687642561533j)
2020-01-01 04:45:00,(-266.91393773225644+2.4814303619252334j),(-265.7592448328832-1.3939144347926484j),(-267.32963696667855-1.0856298584338364j)
2020-01-01 05:00:00,(-266.9130870203489+2.4806172332452268j),(-265.75807924471354-1.394427901813091j),(-267.32883853367423-1.086189313070805j)
2020-01-01 05:15:00,(-266.91308481865394+2.4806164260729324j),(-265.7580766499052-1.3944267138874566j),(-267.32883853912836-1.086189708826001j)
2020-01-01 05:30:00,(-266.7782649224904+2.5726334869054908j),(-265.8844030441356-1.4531732130470627j),(-267.3155187136185-1.1338426190453756j)
2020-01-01 05:45:00,(2.670799390479131-0.029508776166447603j),(2.6656640063177357+0.017663038182195123j),(2.664681382307724+0.012659739740593522j)
2020-01-01 06:00:00,(2.670482843894913-0.029750058032583085j),(2.6652622934045183+0.017419885587255293j),(2.6642575598276945+0.012332409668543277j)
2020-01-01 06:15:00,(2.6704824491088157-0.029750325548183028j),(2.6652608950984766+0.01741907139697514j),(2.6642566661920046+0.012331263751331561j)
2020-01-01 06:30:00,(2.6704824477457514-0.02975032484871433j),(2.6652608872374675+0.017419065831143145j),(2.6642566650735935+0.012331259066095982j)
2020-01-01 06:45:00,(2.6727265680376555-0.032678526618049146j),(2.6753467042974206+0.019239270186164958j),(2.6531485257166922+0.014299895809854433j)
2020-01-01 07:00:00,(2.6723995697283884-0.03293149188364737j),(2.6749150944857245+0.018988799324143428j),(2.652688774524071+0.013945579370094038j)
2020-01-01 07:15:00,(2.67239918306583-0.032931780763903434j),(2.674913232747871+0.018987768316153734j),(2.65268760023296+0.01394402766475514j)
2020-01-01 07:30:00,(2.6623921428039012-0.03574166063855877j),(2.674916686943514+0.020772777139628034j),(2.663275119799499+0.01524661357250875j)
2020-01-01 07:45:00,(2.662198749048908-0.03577743267563684j),(2.67475192360658+0.02059525333801639j),(2.663112684690062+0.015215215825685163j)
2020-01-01 08:00:00,(2.662439619173953-0.0355447558737161j),(2.6747745234555604+0.020463859521580387j),(2.662973101365661+0.015190879567041975j)
2020-01-01 08:15:00,(2.662617737742684-0.035351189310379755j),(2.674740932330258+0.02031489432236367j),(2.662795203477563+0.015137640130015825j)
2020-01-01 08:30:00,(2.6623741919166983-0.0355640500021581j),(2.674650714278375+0.02037113914522524j),(2.662836310108097+0.015109451781826693j)
2020-01-01 08:45:00,(2.657979780943765-0.038692192892656095j),(2.6797547105216672+0.022028943359933238j),(2.662247925516892+0.016648303732282103j)
2020-01-01 09:00:00,(2.657005627385688-0.0394396593893297j),(2.6795120906656495+0.02249820279941082j),(2.6625482705086694+0.016758704687762246j)
2020-01-01 09:15:00,(2.6583504493170906-0.03850708486023161j),(2.6800282271754194+0.022009179755543302j),(2.6623855526049094+0.016703306571411076j)
2020-01-01 09:30:00,(2.6664651169551523-0.041113861015572836j),(2.677726188084262+0.023659475715528743j),(2.6564832312036843+0.017708552451220612j)
2020-01-01 09:45:00,(2.666759107907756-0.040731329363786616j),(2.677400356036477+0.023333767291192544j),(2.6561047713156176+0.017460248558886633j)
2020-01-01 10:00:00,(2.6671337378914157-0.04032182351373575j),(2.677316327351092+0.02305285721801647j),(2.655793830074985+0.017338958076003563j)
2020-01-01 10:15:00,(2.6665712707019154-0.040769146179592354j),(2.6771757555242646+0.02329403740450266j),(2.6559278996631046+0.017400167486494183j)
2020-01-01 10:30:00,(2.6664516039437416-0.04094282381506926j),(2.677276826009339+0.023434779738462794j),(2.656119715322967+0.017475214453705576j)
2020-01-01 10:45:00,(2.663088643716439-0.04394765036594281j),(2.682292316481421+0.026183097737726712j),(2.657889247456531+0.019613295313005666j)
2020-01-01 11:00:00,(2.6628070105664428-0.04377753222090011j),(2.68120056228044+0.025230315069224615j),(2.6565437502581024+0.018889639482332996j)
2020-01-01 11:15:00,(2.6615089706109996-0.04485619542350038j),(2.680784637922219+0.025537849206437157j),(2.65666838487715+0.018839174770172804j)
2020-01-01 11:30:00,(2.660692889294177-0.044561125697420975j),(2.6838483515634626+0.025396444086395378j),(2.6551110843992975+0.019526741443242145j)
2020-01-01 11:45:00,(2.6589779627651287-0.04636739841213475j),(2.6837471380515137+0.026090135969908942j),(2.655846316672652+0.01958183228140092j)
2020-01-01 12:00:00,(2.660915901954023-0.044590476194991666j),(2.684239211112852+0.025572700787274017j),(2.6554409783986785+0.019655745046739413j)
2020-01-01 12:15:00,(2.660603716219817-0.04492831401351637j),(2.683987921248861+0.0254338473592627j),(2.6553388469638812+0.019426315820877563j)
2020-01-01 12:30:00,(2.6604125553035116-0.04512286095368782j),(2.6840142473561404+0.025557474562218886j),(2.6554702799574845+0.01947949834927999j)
2020-01-01 12:45:00,(2.6604068250677124-0.04522511849036931j),(2.6838189376934016+0.025665626928776875j),(2.6556983331791564+0.01948726990445266j)
2020-01-01 13:00:00,(2.661170596649766-0.04440658074048814j),(2.6838158469089946+0.02531225941147227j),(2.6552814811082097+0.01941685363367833j)
2020-01-01 13:15:00,(2.670017232350846-0.04736045055859505j),(2.6792655881562606+0.027526549602531532j),(2.6515699331806344+0.020331775543793583j)
2020-01-01 13:30:00,(2.671051812162305-0.046358812768701j),(2.6786009948150107+0.02696400453901674j),(2.651105815868147+0.019911222719881154j)
2020-01-01 13:45:00,(2.6702800278139303-0.04701205000869997j),(2.6782480335139014+0.02697165940099626j),(2.6510103834447065+0.019758699532616903j)
2020-01-01 14:00:00,(2.670346184102655-0.04700189193289529j),(2.678412508910588+0.02709372172405597j),(2.6511799588294296+0.019871308164171295j)
2020-01-01 14:15:00,(2.6709537999302517-0.04641705749856256j),(2.6784784399859256+0.026893288684364507j),(2.6510159330586953+0.01983575058406268j)
2020-01-01 14:30:00,(2.6720936028042117-0.04511202926477179j),(2.6782619491347934+0.026265505817927533j),(2.6502770802483466+0.019590894916608478j)
2020-01-01 14:45:00,(2.6709214816475546-0.04610538445353046j),(2.6785541845598626+0.02628754328288642j),(2.6500908153518625+0.019491532356821155j)
2020-01-01 15:00:00,(2.6707936232555682-0.04628502631949463j),(2.678724319604364+0.02650620705666688j),(2.6503258319401537+0.01963950338466566j)
2020-01-01 15:15:00,(2.6707571250454762-0.046330212074345255j),(2.678784454737401+0.026586203385815906j),(2.6504073627080507+0.01970001091623044j)
2020-01-01 15:30:00,(2.6703255928066785-0.04653237350109993j),(2.679318680028393+0.026663954521414554j),(2.6502285453590693+0.019835273576001327j)
